Order ID,Category,Gender,Product,Size,Color,Quantity Ordered,Price each,Order Date,Purchase Address
40092,Shoes,F,Wedges,36.0,brown,1,69.95,29/04/2019 22:16,"Spoorstraat 92, 1085KK Zwolle"
40093,Bags,F,Backpack,,white,1,59.99,21/04/2019 21:41,"Meidoornlaan 34, 1098GX Alphen aan den Rijn"
40094,Shoes,M,Sneakers,38.0,beige,1,99.99,01/04/2019 15:35,"Meidoornstraat 54, 1044CK Venlo"
40094,Shoes,M,Sneakers,38.0,grey,1,99.99,01/04/2019 15:35,"Meidoornstraat 54, 1044CK Venlo"
40095,Shoes,M,Combat,35.0,multicolor,1,119.99,30/04/2019 18:11,"Frans Halsstraat 78, 1072EF Utrecht"
40096,Shoes,F,Sneakers,41.0,brown,1,99.99,15/04/2019 13:16,"Hogeweg 86, 1061HO Amsterdam"
40097,Bags,F,Shopper,,brown,1,79.99,19/04/2019 12:23,"Beatrixstraat 55, 1041WR Eindhoven"
40098,Bags,M,Backpack,,brown,1,59.99,14/04/2019 10:50,"Spoorstraat 52, 1055OM Amersfoort"
40099,Shoes,M,Combat,39.0,black,1,119.99,25/04/2019 21:41,"Kastanjelaan 67, 1033XR Amsterdam"
40099,Shoes,M,Boat shoes,39.0,brown,1,59.99,25/04/2019 21:41,"Kastanjelaan 67, 1033XR Amsterdam"
40100,Shoes,M,Loafers,42.0,beige,1,69.99,16/04/2019 11:19,"Kruisstraat 47, 1035JF Leiden"
40100,Shoes,M,Loafers,43.0,beige,1,69.99,16/04/2019 11:19,"Kruisstraat 47, 1035JF Leiden"
40101,Shoes,F,Ballerinas,41.0,black,1,79.95,02/04/2019 18:19,"Dahliastraat 7, 1044AR Tilburg"
40102,Bags,F,Shoulderbag,,black,1,79.99,08/04/2019 06:30,"Prins Bernhardstraat 66, 1014PU Delft"
40103,Shoes,F,Wedges,41.0,grey,1,69.95,08/04/2019 18:16,"Molenweg 83, 1053DG Rotterdam"
40104,Shoes,F,Ballerinas,41.0,black,1,79.95,03/04/2019 12:13,"Hoofdstraat 21, 1033MV Delft"
40104,Bags,F,Backpack,,black,1,59.99,03/04/2019 12:13,"Hoofdstraat 21, 1033MV Delft"
40105,Shoes,F,Sneakers,42.0,black,1,99.99,09/04/2019 20:33,"Molenstraat 60, 1082WC Dordrecht"
40106,Shoes,M,Sneakers,35.0,grey,1,99.99,02/04/2019 22:29,"Nieuweweg 76, 1030NP Zaandam"
40107,Shoes,M,Combat,42.0,beige,1,119.99,23/04/2019 20:52,"Nieuweweg 43, 1005FA Arnhem"
40108,Shoes,F,Pumps,42.0,black,1,89.99,05/04/2019 10:12,"Beukenlaan 52, 1012LF Apeldoorn"
40109,Shoes,F,Ballerinas,39.0,grey,1,79.95,11/04/2019 19:06,"Molenweg 41, 1080NQ Amsterdam"
40109,Bags,F,Shoulderbag,,black,1,79.99,11/04/2019 19:06,"Molenweg 41, 1080NQ Amsterdam"
40110,Shoes,F,Wedges,40.0,white,1,69.95,03/04/2019 11:46,"Hoofdstraat 39, 1039FL Enschede"
40110,Shoes,F,Ballerinas,39.0,black,1,79.95,03/04/2019 11:46,"Hoofdstraat 39, 1039FL Enschede"
40111,Shoes,M,Boots,38.0,beige,1,119.99,30/04/2019 13:33,"Torenstraat 33, 1053PU Alkmaar"
