Order ID,Category,Gender,Product,Size,Color,Quantity Ordered,Price each,Order Date,Purchase Address
45573,Shoes,M,Loafers,39,green,1,69.99,02/08/2019 18:47,"Kerklaan 61, 1099KB Amersfoort"
45574,Accessories,M,Wallet,NA,beige,1,19.99,19/08/2019 09:53,"Dahliastraat 75, 1023YS Leiden"
45575,Shoes,F,Sneakers,38,beige,1,99.99,04/08/2019 13:44,"Parklaan 8, 1052CW Leiden"
45576,Bags,F,Backpack,NA,brown,1,59.99,31/08/2019 14:34,"Beatrixstraat 7, 1095RN Breda"
45577,Accessories,NA,Shoe care,NA,NA,2,8.99,26/08/2019 22:36,"Stationsplein 52, 1005ZZ Amsterdam"
45578,Bags,M,Backpack,NA,beige,1,59.99,02/08/2019 10:57,"Bosweg 10, 1046EO Almere"
45579,Accessories,NA,Shoe care,NA,NA,1,8.99,14/08/2019 18:50,"Stationsweg 99, 1015UW Apeldoorn"
45580,Shoes,F,Ballerinas,37,blue,1,79.95,19/08/2019 20:44,"Oranjestraat 4, 1039ND Rotterdam"
45580,Bags,F,Clutch,NA,beige,1,39.99,19/08/2019 20:44,"Oranjestraat 4, 1039ND Rotterdam"
45581,Accessories,F,Scarf,NA,grey,1,24.99,23/08/2019 11:08,"Margrietstraat 77, 1098MY Leiden"
45582,Shoes,F,Ballerinas,36,black,1,79.95,06/08/2019 20:11,"Schoolstraat 31, 1060LH Zoetermeer"
45582,Bags,F,Handbag,NA,black,1,99.99,06/08/2019 20:11,"Schoolstraat 31, 1060LH Zoetermeer"
45583,Shoes,F,Ballerinas,39,beige,1,79.95,15/08/2019 19:39,"Raadhuisplein 26, 1026YQ Den Haag"
45584,Shoes,M,Boat shoes,42,brown,1,59.99,20/08/2019 13:13,"Hogeweg 56, 1040LK Alkmaar"
45585,Shoes,F,Ballerinas,39,black,1,79.95,11/08/2019 18:15,"Hoofdstraat 21, 1003FP Amsterdam"
45586,Shoes,F,Sneakers,37,beige,1,99.99,13/08/2019 17:22,"Esdoornstraat 59, 1052AC Almere"
45586,Shoes,F,Pumps,37,white,1,89.99,13/08/2019 17:22,"Esdoornstraat 59, 1052AC Almere"
45587,Shoes,F,Ballerinas,41,white,1,79.95,09/08/2019 16:57,"Kerkstraat 90, 1076RE Amsterdam"
45588,Shoes,F,Sneakers,37,white,1,99.99,20/08/2019 04:28,"Julianalaan 62, 1061LL Breda"
