Order ID,Category,Gender,Product,Size,Color,Quantity Ordered,Price each,Order Date,Purchase Address
50381,Shoes,M,Boots,42,brown,1,119.99,25/12/2019 11:42,"Sportlaan 36, 1022MV Tilburg"
50382,Accessories,F,Gloves,NA,grey,1,14.99,17/12/2019 11:08,"Stationsweg 63, 1058RM Zaandam"
50383,Shoes,F,Sneakers,40,grey,1,99.99,14/12/2019 07:46,"Nijverheidsweg 58, 1047SZ Ede"
50383,Shoes,F,Calf Boots,40,black,1,149.99,14/12/2019 07:46,"Nijverheidsweg 58, 1047SZ Ede"
50384,Shoes,M,Boots,37,white,1,119.99,06/12/2019 17:00,"Raadhuisplein 94, 1061SK Den Haag"
50385,Bags,M,Shoulderbag,NA,black,1,79.99,28/12/2019 18:17,"Frans Halsstraat 32, 1091MP Breda"
50386,Bags,F,Clutch,NA,black,1,39.99,01/12/2019 17:51,"Berkenlaan 59, 1029EE Apeldoorn"
50386,Accessories,F,Socks,NA,brown,1,7.99,01/12/2019 17:51,"Berkenlaan 59, 1029EE Apeldoorn"
50387,Shoes,M,Boots,36,white,1,119.99,14/12/2019 11:21,"Juliana-straat 20, 1007YR Leiden"
50388,Shoes,F,Calf Boots,42,black,1,149.99,17/12/2019 21:56,"Nieuweweg 98, 1061IA Almere"
50389,Shoes,F,Pumps,38,beige,1,89.99,03/12/2019 18:17,"Hoogstraat 93, 1002MK Amsterdam"
50389,Shoes,F,Pumps,38,grey,1,89.99,03/12/2019 18:17,"Hoogstraat 93, 1002MK Amsterdam"
50390,Shoes,F,Ankle Boots,41,brown,1,119.99,11/12/2019 20:19,"Juliana-straat 17, 1021JA Tilburg"
50391,Shoes,M,Combat,39,brown,1,119.99,09/12/2019 09:28,"Meidoornlaan 35, 1059WB Amsterdam"
50392,Bags,F,Backpack,NA,gold,1,59.99,30/12/2019 09:35,"Beatrixstraat 38, 1008NC Den Haag"
