Order ID,Category,Gender,Product,Size,Color,Quantity Ordered,Price each,Order Date,Purchase Address
38373,Accessories,F,Sunglasses,NA,green,1,39.99,05/02/2019 17:25,"Irenestraat 46, 1072KB Utrecht"
38374,Bags,F,Shopper,NA,green,1,79.99,24/02/2019 21:53,"Parklaan 83, 1082ZX Amsterdam"
38375,Bags,M,Shoulderbag,NA,white,1,79.99,03/02/2019 12:49,"Stationsstraat 86, 1056RQ Arnhem"
38376,Shoes,F,Ballerinas,36,gold,1,79.95,19/02/2019 09:49,"Kerkstraat 19, 1009ZI Breda"
38377,Bags,M,Shoulderbag,NA,black,1,79.99,14/02/2019 14:20,"Oranjestraat 91, 1017YC Groningen"
38378,Shoes,M,Sneakers,38,grey,1,99.99,12/02/2019 20:18,"Julianalaan 31, 1032WV Amsterdam"
38379,Accessories,NA,Shoe care,NA,NA,2,8.99,20/02/2019 12:42,"Stationsplein 64, 1039GZ Leeuwarden"
38380,Shoes,M,Combat,39,grey,2,119.99,02/02/2019 16:03,"Kloosterstraat 81, 1006YD Amsterdam"
38381,Shoes,F,Sneakers,36,multicolor,1,99.99,03/02/2019 20:31,"Berkenlaan 20, 1052RU Tilburg"
38382,Shoes,F,Sneakers,39,white,1,99.99,27/02/2019 21:25,"Oranjestraat 67, 1018QB Amsterdam"
38382,Bags,F,Laptopbag,NA,white,1,99.99,27/02/2019 21:25,"Oranjestraat 67, 1018QB Amsterdam"
38383,Accessories,NA,Shoe care,NA,NA,1,8.99,27/02/2019 00:34,"Hogeweg 48, 1020DT Den Haag"
38384,Shoes,F,Ballerinas,41,black,1,79.95,03/02/2019 07:27,"Frans Halsstraat 37, 1051TO Haarlem"
38384,Accessories,F,Belt,NA,grey,1,29.99,03/02/2019 07:27,"Frans Halsstraat 37, 1051TO Haarlem"
38385,Shoes,F,Ankle Boots,37,grey,1,119.99,16/02/2019 16:42,"Prins Hendrikstraat 95, 1021GI Rotterdam"
38385,Shoes,F,Sneakers,37,blue,1,99.99,16/02/2019 16:42,"Prins Hendrikstraat 95, 1021GI Rotterdam"
38386,Shoes,M,Boat shoes,41,black,1,59.99,28/02/2019 11:44,"Raadhuisstraat 76, 1044PY Alkmaar"
38386,Shoes,M,Sandals,41,beige,1,49.99,28/02/2019 11:44,"Raadhuisstraat 76, 1044PY Alkmaar"
38387,Accessories,M,Socks,NA,brown,1,7.99,13/02/2019 05:41,"Eikenlaan 4, 1096IA Delft"
38388,Accessories,F,Socks,NA,black,1,7.99,22/02/2019 13:52,"Parallelweg 93, 1036SA Den Haag"
38389,Shoes,F,Pumps,36,grey,1,89.99,01/02/2019 13:56,"Bosweg 69, 1003JD Almere"
