Order ID,Category,Gender,Product,Size,Color,Quantity Ordered,Price each,Order Date,Purchase Address
44212,Accessories,NA,Shoe care,NA,NA,1,8.99,21/07/2019 11:11,"Stationsweg 41, 1009HG Den Haag"
44213,Shoes,M,Boat shoes,39,multicolor,1,59.99,18/07/2019 15:17,"Molenweg 66, 1044UN Amsterdam"
44213,Bags,M,Laptopbag,NA,multicolor,1,99.99,18/07/2019 15:17,"Molenweg 66, 1044UN Amsterdam"
44214,Shoes,F,Sandals,39,brown,1,49.99,01/07/2019 22:23,"Raadhuisstraat 65, 1024RH Nijmegen"
44214,Shoes,F,Sandals,38,brown,1,49.99,01/07/2019 22:23,"Raadhuisstraat 65, 1024RH Nijmegen"
44215,Shoes,F,Sneakers,37,multicolor,1,99.99,23/07/2019 12:16,"Juliana-straat 12, 1001FH Amsterdam"
44215,Shoes,F,Sneakers,36,multicolor,1,99.99,23/07/2019 12:16,"Juliana-straat 12, 1001FH Amsterdam"
44216,Shoes,F,Flip Flops,39,beige,1,29.99,07/07/2019 10:54,"Eikenlaan 77, 1096FQ Nijmegen"
44217,Accessories,NA,Shoe care,NA,NA,1,8.99,04/07/2019 10:34,"Lindenlaan 84, 1096WS Zaandam"
44218,Shoes,M,Loafers,42,brown,1,69.99,12/07/2019 18:18,"Parallelweg 63, 1080TS Amsterdam"
44219,Shoes,F,Ballerinas,37,blue,1,79.95,13/07/2019 14:20,"Bosweg 34, 1091XQ Rotterdam"
44220,Shoes,F,Ballerinas,37,beige,1,79.95,01/07/2019 22:12,"Julianalaan 6, 1098BO Eindhoven"
44220,Accessories,F,Belt,NA,black,1,29.99,01/07/2019 22:12,"Julianalaan 6, 1098BO Eindhoven"
44221,Shoes,M,Boat shoes,41,grey,1,59.99,27/07/2019 20:44,"Beatrixstraat 91, 1088PX 's-Hertogenbosch"
44221,Shoes,M,Flip Flops,41,grey,1,29.99,27/07/2019 20:44,"Beatrixstraat 91, 1088PX 's-Hertogenbosch"
44222,Bags,F,Shopper,NA,beige,1,79.99,03/07/2019 23:20,"Molenstraat 75, 1026CL Groningen"
44223,Shoes,F,Sneakers,39,black,1,99.99,08/07/2019 18:05,"Eikenlaan 35, 1005CH 's-Hertogenbosch"
44224,Accessories,M,Sunglasses,NA,beige,1,39.99,21/07/2019 08:52,"Kerkweg 32, 1031IP Eindhoven"
44225,Shoes,F,Sandals,38,blue,1,49.99,02/07/2019 00:15,"Hogeweg 30, 1053RV Utrecht"
44226,Shoes,M,Flip Flops,39,black,1,29.99,25/07/2019 16:48,"Dorpsstraat 24, 1071HZ Amsterdam"
44226,Bags,M,Laptopbag,NA,white,2,99.99,25/07/2019 16:48,"Dorpsstraat 24, 1071HZ Amsterdam"
44227,Shoes,F,Flip Flops,38,blue,1,29.99,26/07/2019 14:33,"Kerklaan 26, 1008XX Groningen"
44227,Shoes,F,Pumps,38,brown,1,89.99,26/07/2019 14:33,"Kerklaan 26, 1008XX Groningen"
44228,Shoes,F,Calf Boots,36,multicolor,1,149.99,12/07/2019 11:34,"Irenestraat 42, 1027YO Groningen"
44229,Accessories,M,Wallet,NA,grey,1,19.99,10/07/2019 15:16,"Prins Beatrixstraat 98, 1096KI Utrecht"
44230,Shoes,F,Sandals,40,brown,1,49.99,07/07/2019 09:01,"Beatrixstraat 57, 1012SF Almere"
44230,Accessories,F,Summerhat,NA,black,1,24.99,07/07/2019 09:01,"Beatrixstraat 57, 1012SF Almere"
44231,Shoes,F,Wedges,37,brown,1,69.95,08/07/2019 10:48,"Stationsstraat 76, 1051ZO Arnhem"
44231,Accessories,F,Sunglasses,NA,green,1,39.99,08/07/2019 10:48,"Stationsstraat 76, 1051ZO Arnhem"
44232,Accessories,F,Sunglasses,NA,green,1,39.99,08/07/2019 13:03,"Kloosterstraat 58, 1053XF Almere"
44233,Shoes,F,Flip Flops,38,grey,1,29.99,29/07/2019 22:33,"Prins Bernhardstraat 71, 1067YO Amsterdam"
44233,Bags,F,Clutch,NA,black,1,39.99,29/07/2019 22:33,"Prins Bernhardstraat 71, 1067YO Amsterdam"
44234,Shoes,F,Wedges,39,beige,1,69.95,14/07/2019 17:43,"Wilhelminastraat 57, 1087TD Ede"
44235,Bags,F,Laptopbag,NA,multicolor,1,99.99,26/07/2019 11:48,"Stationsstraat 79, 1092AI Almere"
44236,Shoes,F,Ballerinas,39,white,1,79.95,04/07/2019 18:32,"Julianalaan 12, 1099GJ Amsterdam"
44237,Shoes,F,Pumps,39,black,1,89.99,27/07/2019 12:35,"Prins Beatrixstraat 47, 1021ZV Delft"
44238,Shoes,F,Sneakers,42,beige,1,99.99,14/07/2019 19:57,"Kruisstraat 76, 1016FF Maastricht"
44239,Bags,M,Laptopbag,NA,beige,1,99.99,10/07/2019 22:21,"Stationsstraat 47, 1048YW Den Haag"
44240,Accessories,NA,Shoe care,NA,NA,1,8.99,14/07/2019 14:26,"Dahliastraat 50, 1072XK Zwolle"
44241,Accessories,M,Wallet,NA,multicolor,1,19.99,08/07/2019 17:31,"Kievitstraat 46, 1085NB Leiden"
44242,Bags,F,Clutch,NA,blue,1,39.99,08/07/2019 11:20,"Nieuweweg 25, 1055ET Nijmegen"
44242,Accessories,F,Belt,NA,beige,1,29.99,08/07/2019 11:20,"Nieuweweg 25, 1055ET Nijmegen"
44243,Shoes,F,Pumps,39,beige,1,89.99,24/07/2019 13:27,"Dahliastraat 31, 1087RY Den Haag"
44244,Shoes,M,Sandals,40,black,1,49.99,28/07/2019 18:40,"Juliana-straat 3, 1031SC Leiden"
44245,Shoes,F,Ballerinas,36,grey,1,79.95,27/07/2019 08:40,"Spoorstraat 62, 1027CE Leeuwarden"
44245,Shoes,F,Ballerinas,35,grey,1,79.95,27/07/2019 08:40,"Spoorstraat 62, 1027CE Leeuwarden"
44246,Shoes,F,Wedges,38,white,1,69.95,04/07/2019 23:35,"Middenweg 76, 1081UX Leeuwarden"
44246,Shoes,F,Ballerinas,40,grey,1,79.95,04/07/2019 23:35,"Middenweg 76, 1081UX Leeuwarden"
44247,Accessories,F,Sunglasses,NA,white,1,39.99,28/07/2019 12:08,"Frans Halsstraat 92, 1055ZL Maastricht"
44248,Accessories,F,Sunglasses,NA,black,1,39.99,26/07/2019 21:56,"Bosweg 10, 1066HD Amsterdam"
44249,Shoes,M,Sneakers,39,white,1,99.99,07/07/2019 16:57,"Parklaan 86, 1052EK Amsterdam"
44250,Accessories,F,Sunglasses,NA,black,1,39.99,09/07/2019 21:00,"Kerkstraat 7, 1078GW Amsterdam"
44251,Shoes,F,Sandals,39,beige,1,49.99,24/07/2019 12:20,"Emmastraat 21, 1063PG Tilburg"
44252,Shoes,M,Boat shoes,39,beige,1,59.99,03/07/2019 08:50,"Frans Halsstraat 35, 1082BI Enschede"
44252,Shoes,M,Boat shoes,39,white,1,59.99,03/07/2019 08:50,"Frans Halsstraat 35, 1082BI Enschede"
44253,Accessories,M,Summerhat,NA,brown,1,24.99,16/07/2019 18:08,"Dahliastraat 43, 1041BP Amsterdam"
44254,Shoes,F,Flip Flops,39,brown,1,29.99,05/07/2019 12:31,"Parklaan 56, 1050RZ Amsterdam"
44254,Shoes,F,Flip Flops,40,black,1,29.99,05/07/2019 12:31,"Parklaan 56, 1050RZ Amsterdam"
44255,Shoes,M,Sandals,41,black,1,49.99,27/07/2019 14:01,"Raadhuisstraat 97, 1061XE Eindhoven"
44255,Shoes,M,Boat shoes,41,multicolor,1,59.99,27/07/2019 14:01,"Raadhuisstraat 97, 1061XE Eindhoven"
44256,Shoes,F,Wedges,41,multicolor,1,69.95,14/07/2019 17:36,"Kievitstraat 36, 1006YQ Rotterdam"
44257,Shoes,F,Sandals,36,brown,1,49.99,12/07/2019 10:21,"Nieuweweg 63, 1006VG Zoetermeer"
44258,Shoes,F,Ballerinas,42,grey,1,79.95,02/07/2019 12:57,"Molenweg 65, 1024VY Den Haag"
44259,Shoes,M,Sandals,42,white,1,49.99,16/07/2019 20:57,"Leliestraat 95, 1014DL Tilburg"
