Order ID,Category,Gender,Product,Size,Color,Quantity Ordered,Price each,Order Date,Purchase Address
42726,Shoes,F,Sneakers,35,brown,1,99.99,12/06/2019 19:07,"Stationsplein 67, 1056LF Enschede"
42726,Accessories,F,Summerhat,NA,brown,1,24.99,12/06/2019 19:07,"Stationsplein 67, 1056LF Enschede"
42727,Shoes,M,Sandals,41,white,1,49.99,30/06/2019 21:17,"Beukenlaan 7, 1073PN Apeldoorn"
42727,Bags,M,Shoulderbag,NA,white,1,79.99,30/06/2019 21:17,"Beukenlaan 7, 1073PN Apeldoorn"
42728,Shoes,F,Sneakers,36,grey,1,99.99,16/06/2019 08:27,"Schoolstraat 51, 1096DG Amersfoort"
42729,Bags,M,Laptopbag,NA,brown,1,99.99,26/06/2019 19:45,"Emmastraat 34, 1025QZ Amsterdam"
42729,Accessories,M,Wallet,NA,brown,2,19.99,26/06/2019 19:45,"Emmastraat 34, 1025QZ Amsterdam"
42730,Shoes,F,Wedges,39,grey,1,69.95,18/06/2019 19:00,"Stationsstraat 90, 1046TA Ede"
42731,Shoes,F,Ballerinas,41,brown,1,79.95,13/06/2019 22:05,"Schoolstraat 84, 1061BJ Utrecht"
42731,Shoes,F,Ballerinas,36,grey,1,79.95,13/06/2019 22:05,"Schoolstraat 84, 1061BJ Utrecht"
42732,Shoes,F,Wedges,35,brown,1,69.95,20/06/2019 13:53,"Kerklaan 72, 1061PX Zaandam"
42732,Shoes,F,Flip Flops,42,grey,1,29.99,20/06/2019 13:53,"Kerklaan 72, 1061PX Zaandam"
42733,Shoes,M,Flip Flops,39,grey,2,29.99,28/06/2019 09:19,"Prins Hendrikstraat 25, 1041OS Den Haag"
42733,Shoes,M,Loafers,39,grey,1,69.99,28/06/2019 09:19,"Prins Hendrikstraat 25, 1041OS Den Haag"
42734,Bags,M,Laptopbag,NA,black,1,99.99,29/06/2019 17:28,"Havenstraat 59, 1076ZY Den Haag"
42735,Shoes,M,Loafers,39,grey,1,69.99,27/06/2019 12:49,"Dorpsstraat 84, 1053ZY Rotterdam"
42735,Bags,M,Shoulderbag,NA,grey,1,79.99,27/06/2019 12:49,"Dorpsstraat 84, 1053ZY Rotterdam"
42736,Accessories,F,Summerhat,NA,black,1,24.99,25/06/2019 14:17,"Schoolstraat 78, 1061KV Den Haag"
42737,Shoes,M,Loafers,38,brown,1,69.99,20/06/2019 14:03,"Leliestraat 14, 1034FY Groningen"
42738,Bags,M,Shoulderbag,NA,beige,1,79.99,12/06/2019 12:04,"Industrieweg 36, 1055LQ Leiden"
42739,Shoes,F,Sandals,36,beige,1,49.99,18/06/2019 22:20,"Sportlaan 72, 1023ZL Alphen aan den Rijn"
42739,Bags,F,Laptopbag,NA,grey,1,99.99,18/06/2019 22:20,"Sportlaan 72, 1023ZL Alphen aan den Rijn"
42740,Bags,F,Shoulderbag,NA,black,1,79.99,06/06/2019 00:20,"Kerkpad 56, 1047GL Rotterdam"
42741,Shoes,F,Flip Flops,35,brown,1,29.99,20/06/2019 20:53,"Tuinstraat 71, 1007MD Venlo"
42742,Shoes,F,Pumps,38,brown,1,89.99,13/06/2019 11:32,"Prins Beatrixstraat 92, 1096SD Utrecht"
42743,Accessories,NA,Shoe care,NA,NA,1,8.99,25/06/2019 23:41,"Irenestraat 31, 1037UI Zaandam"
42744,Shoes,M,Flip Flops,39,beige,1,29.99,09/06/2019 13:13,"Eikenlaan 40, 1066MG 's-Hertogenbosch"
42744,Accessories,M,Summerhat,NA,brown,1,24.99,09/06/2019 13:13,"Eikenlaan 40, 1066MG 's-Hertogenbosch"
42745,Shoes,F,Flip Flops,40,grey,1,29.99,27/06/2019 14:27,"Kerkpad 84, 1076KQ Rotterdam"
42746,Accessories,F,Wallet,NA,multicolor,1,19.99,12/06/2019 20:38,"Torenstraat 6, 1050OY Amersfoort"
42747,Shoes,M,Boat shoes,42,black,1,59.99,11/06/2019 17:12,"Leliestraat 73, 1088QM Utrecht"
42748,Shoes,F,Ballerinas,36,gold,1,79.95,15/06/2019 14:12,"Leeuwerikstraat 96, 1092GV Venlo"
42749,Shoes,M,Sandals,41,multicolor,1,49.99,07/06/2019 19:51,"Kievitstraat 98, 1012VF 's-Hertogenbosch"
42750,Shoes,F,Flip Flops,40,black,1,29.99,19/06/2019 08:31,"Beatrixstraat 77, 1044FO Amsterdam"
42750,Bags,F,Backpack,NA,beige,1,59.99,19/06/2019 08:31,"Beatrixstraat 77, 1044FO Amsterdam"
42751,Shoes,F,Wedges,35,grey,1,69.95,04/06/2019 17:49,"Lindenlaan 18, 1020HL Nijmegen"
42751,Shoes,F,Wedges,36,grey,1,69.95,04/06/2019 17:49,"Lindenlaan 18, 1020HL Nijmegen"
42752,Shoes,M,Flip Flops,39,grey,1,29.99,10/06/2019 11:03,"Meidoornlaan 96, 1020FH Ede"
42753,Shoes,F,Pumps,39,beige,1,89.99,12/06/2019 16:41,"Rijksweg 59, 1060VG Amersfoort"
42754,Accessories,F,Summerhat,NA,brown,1,24.99,16/06/2019 09:36,"Bosweg 91, 1050LD Almere"
42755,Shoes,F,Ballerinas,37,red,1,79.95,06/06/2019 14:05,"Hoofdstraat 33, 1052SG Utrecht"
42756,Bags,F,Backpack,NA,pink,1,59.99,06/06/2019 23:04,"Molenstraat 12, 1084HJ 's-Hertogenbosch"
42757,Shoes,F,Wedges,36,brown,1,69.95,07/06/2019 17:14,"Kloosterstraat 39, 1094SO Utrecht"
42757,Shoes,F,Wedges,35,brown,1,69.95,07/06/2019 17:14,"Kloosterstraat 39, 1094SO Utrecht"
42758,Accessories,M,Summerhat,NA,green,1,24.99,26/06/2019 16:18,"Beatrixstraat 25, 1004KC Delft"
42759,Shoes,M,Sneakers,40,multicolor,1,99.99,21/06/2019 11:00,"Tuinstraat 13, 1092IM Apeldoorn"
42760,Accessories,NA,Shoe care,NA,NA,2,8.99,19/06/2019 14:26,"Raadhuisstraat 80, 1062ES Eindhoven"
42761,Shoes,F,Ballerinas,38,black,1,79.95,23/06/2019 19:53,"Prins Hendrikstraat 33, 1058JP Rotterdam"
42761,Bags,F,Handbag,NA,black,1,99.99,23/06/2019 19:53,"Prins Hendrikstraat 33, 1058JP Rotterdam"
42762,Shoes,M,Boat shoes,38,black,2,59.99,06/06/2019 00:25,"Juliana-straat 60, 1067YV Rotterdam"
42763,Accessories,F,Belt,NA,brown,1,29.99,02/06/2019 23:36,"Hogeweg 65, 1035HQ Rotterdam"
42764,Shoes,F,Sandals,42,multicolor,1,49.99,22/06/2019 13:39,"Dahliastraat 56, 1004KD Haarlem"
42765,Shoes,F,Flip Flops,40,black,1,29.99,25/06/2019 14:17,"Frans Halsstraat 94, 1003EG Amsterdam"
42765,Bags,F,Handbag,NA,beige,1,99.99,25/06/2019 14:17,"Frans Halsstraat 94, 1003EG Amsterdam"
42766,Shoes,F,Sneakers,38,black,1,99.99,09/06/2019 18:09,"Hogeweg 81, 1092GK Almere"
42766,Shoes,F,Sneakers,37,black,1,99.99,09/06/2019 18:09,"Hogeweg 81, 1092GK Almere"
42767,Shoes,F,Sandals,36,black,2,49.99,06/06/2019 16:46,"Lindenlaan 79, 1028FI Leiden"
42768,Shoes,F,Ballerinas,39,grey,1,79.95,07/06/2019 22:06,"Leliestraat 70, 1065BY Dordrecht"
42768,Shoes,F,Pumps,41,gold,1,89.99,07/06/2019 22:06,"Leliestraat 70, 1065BY Dordrecht"
42769,Shoes,M,Loafers,40,black,1,69.99,02/06/2019 17:19,"Nieuweweg 62, 1085EW Amersfoort"
42770,Accessories,NA,Shoe care,NA,NA,1,8.99,21/06/2019 18:18,"Nieuweweg 3, 1061QH Amsterdam"
42771,Shoes,F,Pumps,37,black,1,89.99,19/06/2019 14:12,"Beukenlaan 7, 1021AT Groningen"
42772,Shoes,F,Sandals,39,blue,1,49.99,06/06/2019 09:10,"Esdoornstraat 70, 1054ZR Amsterdam"
42773,Bags,M,Shoulderbag,NA,black,1,79.99,02/06/2019 07:41,"Meidoornlaan 45, 1011AF Haarlem"
42774,Accessories,F,Summerhat,NA,beige,1,24.99,22/06/2019 10:33,"Frans Halsstraat 28, 1096EV Den Haag"
42775,Shoes,M,Sneakers,41,red,1,99.99,07/06/2019 11:30,"Margrietstraat 46, 1000HY Alkmaar"
42775,Accessories,M,Belt,NA,beige,1,29.99,07/06/2019 11:30,"Margrietstraat 46, 1000HY Alkmaar"
42776,Shoes,F,Pumps,39,blue,1,89.99,01/06/2019 11:15,"Molenweg 98, 1085BK Groningen"
42776,Shoes,F,Flip Flops,38,beige,2,29.99,01/06/2019 11:15,"Molenweg 98, 1085BK Groningen"
42777,Shoes,F,Ballerinas,41,white,1,79.95,09/06/2019 18:36,"Stationsplein 53, 1087KS Dordrecht"
42778,Shoes,M,Sandals,37,grey,1,49.99,11/06/2019 22:07,"Lindenlaan 19, 1011TR Apeldoorn"
42779,Shoes,F,Ankle Boots,40,grey,1,119.99,20/06/2019 20:56,"Emmastraat 9, 1025KN Breda"
42780,Bags,M,Laptopbag,NA,beige,1,99.99,23/06/2019 09:56,"Industrieweg 28, 1041KM Apeldoorn"
42781,Shoes,M,Sandals,41,black,1,49.99,28/06/2019 15:31,"Markt 36, 1075SZ Zwolle"
42782,Shoes,M,Boat shoes,42,brown,1,59.99,21/06/2019 15:57,"Bosweg 56, 1085CA Rotterdam"
42783,Shoes,F,Sandals,37,red,1,49.99,14/06/2019 06:26,"Middenweg 84, 1019WF Utrecht"
42784,Shoes,F,Sandals,38,brown,1,49.99,15/06/2019 22:13,"Rijksweg 76, 1068IE Amsterdam"
42785,Bags,M,Backpack,NA,blue,1,59.99,10/06/2019 11:04,"Berkenlaan 40, 1047LI Eindhoven"
42786,Bags,M,Laptopbag,NA,multicolor,1,99.99,01/06/2019 10:39,"Hoofdstraat 74, 1031SJ Leiden"
42787,Shoes,F,Wedges,42,blue,1,69.95,28/06/2019 20:10,"Hoofdstraat 33, 1080GO Venlo"
