Order ID,Category,Gender,Product,Size,Color,Quantity Ordered,Price each,Order Date,Purchase Address
39067,Shoes,F,Ballerinas,40,red,1,79.95,23/03/2019 23:20,"Frans Halsstraat 23, 1036FR Den Haag"
39067,Bags,F,Shopper,NA,red,1,79.99,23/03/2019 23:20,"Frans Halsstraat 23, 1036FR Den Haag"
39068,Shoes,F,Wedges,36,grey,1,69.95,31/03/2019 15:32,"Eikenlaan 70, 1030MC Tilburg"
39068,Shoes,F,Wedges,36,black,1,69.95,31/03/2019 15:32,"Eikenlaan 70, 1030MC Tilburg"
39069,Bags,M,Shoulderbag,NA,black,1,79.99,12/03/2019 11:06,"Kievitstraat 35, 1003LI Enschede"
39070,Accessories,M,Socks,NA,black,1,7.99,18/03/2019 13:51,"Beukenlaan 91, 1093TQ Tilburg"
39071,Accessories,M,Socks,NA,beige,1,7.99,07/03/2019 07:06,"Markt 72, 1098AS Apeldoorn"
39072,Shoes,F,Ankle Boots,41,brown,1,119.99,07/03/2019 18:12,"Leeuwerikstraat 81, 1096JT Almere"
39073,Shoes,M,Sandals,40,beige,1,49.99,30/03/2019 01:45,"Beukenlaan 93, 1016TN Den Haag"
39074,Bags,F,Shoulderbag,NA,brown,1,79.99,27/03/2019 11:13,"Kastanjelaan 19, 1063HP Amersfoort"
39075,Shoes,F,Wedges,39,beige,1,69.95,24/03/2019 14:19,"Raadhuisplein 32, 1067JM Rotterdam"
39076,Bags,F,Backpack,NA,beige,2,59.99,02/03/2019 12:59,"Kerkweg 66, 1039XL Eindhoven"
39077,Accessories,NA,Shoe care,NA,NA,1,8.99,22/03/2019 09:10,"Industrieweg 97, 1061NW Amsterdam"
39078,Shoes,M,Sneakers,40,brown,1,99.99,22/03/2019 14:23,"Frans Halsstraat 41, 1057WQ Alphen aan den Rijn"
39078,Bags,M,Shoulderbag,NA,brown,1,79.99,22/03/2019 14:23,"Frans Halsstraat 41, 1057WQ Alphen aan den Rijn"
39079,Bags,M,Laptopbag,NA,white,1,99.99,01/03/2019 18:10,"Schoolstraat 21, 1081RF Zoetermeer"
39080,Bags,M,Laptopbag,NA,beige,1,99.99,12/03/2019 01:17,"Juliana-straat 3, 1062EQ Deventer"
39081,Shoes,F,Sneakers,39,green,1,99.99,06/03/2019 07:34,"Havenstraat 60, 1064UY Arnhem"
39082,Shoes,F,Pumps,35,black,1,89.99,04/03/2019 11:13,"Leliestraat 93, 1067HY Amsterdam"
