Order ID,Category,Gender,Product,Size,Color,Quantity Ordered,Price each,Order Date,Purchase Address
41193,Shoes,F,Flip Flops,39,beige,1,29.99,01/05/2019 18:51,"Stationsweg 76, 1083RW Utrecht"
41193,Shoes,F,Sandals,39,grey,1,49.99,01/05/2019 18:51,"Stationsweg 76, 1083RW Utrecht"
41194,Shoes,F,Sandals,39,grey,1,49.99,06/05/2019 10:06,"Stationsplein 61, 1048EJ Rotterdam"
41194,Shoes,F,Wedges,39,brown,1,69.95,06/05/2019 10:06,"Stationsplein 61, 1048EJ Rotterdam"
41195,Shoes,F,Pumps,38,grey,1,89.99,01/05/2019 14:05,"Stationsstraat 70, 1002TY Amsterdam"
41195,Shoes,F,Pumps,39,grey,1,89.99,01/05/2019 14:05,"Stationsstraat 70, 1002TY Amsterdam"
41196,Bags,M,Shoulderbag,NA,brown,1,79.99,19/05/2019 08:20,"Prins Hendrikstraat 74, 1059GP Utrecht"
41196,Accessories,NA,Shoe care,NA,NA,1,8.99,19/05/2019 08:20,"Prins Hendrikstraat 74, 1059GP Utrecht"
41197,Shoes,M,Sandals,37,beige,1,49.99,13/05/2019 03:51,"Rozenstraat 59, 1002MM Den Haag"
41198,Shoes,M,Loafers,36,brown,1,69.99,30/05/2019 20:51,"Kruisstraat 24, 1058ZX Ede"
41198,Bags,M,Backpack,NA,brown,1,59.99,30/05/2019 20:51,"Kruisstraat 24, 1058ZX Ede"
41199,Shoes,F,Ballerinas,41,gold,1,79.95,17/05/2019 03:29,"Oranjestraat 1, 1077HJ Zwolle"
41200,Bags,M,Laptopbag,NA,grey,1,99.99,23/05/2019 22:04,"Kloosterstraat 90, 1005SL Almere"
41201,Bags,F,Handbag,NA,white,1,99.99,13/05/2019 10:53,"Prins Bernhardstraat 35, 1073KY 's-Hertogenbosch"
41202,Shoes,M,Sandals,42,black,1,49.99,01/05/2019 23:01,"Rozenstraat 31, 1050GD Rotterdam"
41203,Shoes,F,Flip Flops,38,brown,1,29.99,03/05/2019 14:57,"Beatrixstraat 88, 1088FH Rotterdam"
41204,Accessories,NA,Shoe care,NA,NA,1,8.99,07/05/2019 20:52,"Leeuwerikstraat 71, 1048VS Almere"
41205,Shoes,F,Sandals,40,grey,1,49.99,18/05/2019 11:08,"Prins Bernhardstraat 10, 1018ET Zoetermeer"
41206,Shoes,M,Flip Flops,40,beige,1,29.99,11/05/2019 10:48,"Kerkweg 35, 1004CH Amsterdam"
41207,Bags,M,Shoulderbag,NA,beige,1,79.99,08/05/2019 18:47,"Middenweg 39, 1059DK Eindhoven"
41208,Shoes,M,Boat shoes,39,black,1,59.99,22/05/2019 17:06,"Raadhuisplein 67, 1083TD Arnhem"
41209,Shoes,F,Ankle Boots,40,beige,1,119.99,31/05/2019 06:07,"Meidoornstraat 63, 1078RP Deventer"
41209,Shoes,F,Flip Flops,40,brown,1,29.99,31/05/2019 06:07,"Meidoornstraat 63, 1078RP Deventer"
41210,Accessories,M,Wallet,NA,black,1,19.99,17/05/2019 13:07,"Eikenlaan 49, 1028NH Groningen"
41211,Accessories,F,Summerhat,NA,gold,1,24.99,24/05/2019 12:41,"Molenstraat 20, 1098QX Enschede"
41212,Bags,F,Laptopbag,NA,black,1,99.99,30/05/2019 17:55,"Molenweg 80, 1057UB Venlo"
41213,Shoes,F,Flip Flops,39,brown,1,29.99,21/05/2019 23:53,"Kruisstraat 80, 1087CA Eindhoven"
41213,Bags,F,Shopper,NA,brown,1,79.99,21/05/2019 23:53,"Kruisstraat 80, 1087CA Eindhoven"
41214,Shoes,F,Flip Flops,41,beige,1,29.99,29/05/2019 15:49,"Industrieweg 8, 1092YT Tilburg"
41215,Shoes,M,Sandals,38,beige,1,49.99,18/05/2019 15:11,"Leeuwerikstraat 13, 1026NI Amsterdam"
41216,Shoes,M,Loafers,38,beige,1,69.99,28/05/2019 21:28,"Hoogstraat 6, 1086MJ Nijmegen"
41216,Shoes,M,Boat shoes,38,blue,1,59.99,28/05/2019 21:28,"Hoogstraat 6, 1086MJ Nijmegen"
41217,Shoes,M,Boat shoes,40,beige,1,59.99,09/05/2019 11:59,"Juliana-straat 2, 1026HE Almere"
41217,Shoes,M,Boat shoes,39,beige,1,59.99,09/05/2019 11:59,"Juliana-straat 2, 1026HE Almere"
41218,Shoes,M,Loafers,37,black,1,69.99,25/05/2019 19:04,"Oranjestraat 19, 1075JY Enschede"
41218,Shoes,M,Loafers,36,black,1,69.99,25/05/2019 19:04,"Oranjestraat 19, 1075JY Enschede"
41219,Shoes,F,Flip Flops,38,brown,1,29.99,08/05/2019 11:18,"Hogeweg 60, 1089FJ Zoetermeer"
41220,Bags,F,Laptopbag,NA,grey,1,99.99,28/05/2019 02:22,"Bosweg 7, 1000CS Amsterdam"
41221,Shoes,M,Sneakers,38,white,1,99.99,16/05/2019 19:39,"Irenestraat 37, 1062BY Leiden"
41222,Shoes,F,Flip Flops,39,brown,1,29.99,06/05/2019 14:38,"Kerkstraat 76, 1074FI Leeuwarden"
41222,Bags,F,Shopper,NA,brown,1,79.99,06/05/2019 14:38,"Kerkstraat 76, 1074FI Leeuwarden"
41223,Shoes,M,Loafers,37,grey,1,69.99,08/05/2019 18:28,"Berkenlaan 38, 1015FV Apeldoorn"
41224,Accessories,M,Sunglasses,NA,brown,1,39.99,19/05/2019 20:16,"Kastanjelaan 6, 1066KA Delft"
41225,Shoes,F,Flip Flops,42,beige,1,29.99,29/05/2019 12:02,"Molenstraat 77, 1063SG Amsterdam"
41225,Shoes,F,Pumps,42,beige,1,89.99,29/05/2019 12:02,"Molenstraat 77, 1063SG Amsterdam"
41226,Shoes,M,Flip Flops,39,brown,1,29.99,09/05/2019 18:56,"Hogeweg 61, 1070FA Haarlem"
41227,Shoes,F,Sneakers,38,black,1,99.99,15/05/2019 14:49,"Groeneweg 15, 1038TR Utrecht"
41228,Shoes,M,Sneakers,39,grey,2,99.99,24/05/2019 10:53,"Rozenstraat 92, 1097RP Haarlem"
