Order ID,Category,Gender,Product,Size,Color,Quantity Ordered,Price each,Order Date,Purchase Address
49269,Shoes,F,Calf Boots,40,brown,1,149.99,13/11/2019 07:42,"Dorpsstraat 15, 1036NK Tilburg"
49270,Bags,F,Laptopbag,NA,multicolor,1,99.99,06/11/2019 16:02,"Kloosterstraat 88, 1048LV Haarlem"
49271,Shoes,F,Ballerinas,37,beige,1,79.95,28/11/2019 06:53,"Kerklaan 84, 1012WY Nijmegen"
49271,Accessories,NA,Shoe care,NA,NA,1,8.99,28/11/2019 06:53,"Kerklaan 84, 1012WY Nijmegen"
49272,Shoes,F,Calf Boots,40,black,1,149.99,15/11/2019 11:52,"Julianalaan 49, 1067UX Almere"
49272,Shoes,F,Sneakers,40,beige,1,99.99,15/11/2019 11:52,"Julianalaan 49, 1067UX Almere"
49273,Shoes,M,Boots,35,brown,1,119.99,01/11/2019 12:58,"Frans Halsstraat 96, 1081SB Utrecht"
49274,Bags,M,Laptopbag,NA,grey,1,99.99,19/11/2019 15:13,"Dahliastraat 39, 1042TP Den Haag"
49275,Shoes,M,Combat,41,green,1,119.99,11/11/2019 00:56,"Oranjestraat 92, 1068JU Apeldoorn"
49275,Shoes,M,Flip Flops,41,grey,1,29.99,11/11/2019 00:56,"Oranjestraat 92, 1068JU Apeldoorn"
49276,Shoes,M,Loafers,36,grey,1,69.99,09/11/2019 11:30,"Havenstraat 5, 1099FQ Utrecht"
49276,Shoes,M,Boots,36,grey,1,119.99,09/11/2019 11:30,"Havenstraat 5, 1099FQ Utrecht"
49277,Shoes,F,Ankle Boots,35,brown,1,119.99,14/11/2019 19:36,"Industrieweg 29, 1056PV Amsterdam"
49277,Shoes,F,Ankle Boots,36,brown,1,119.99,14/11/2019 19:36,"Industrieweg 29, 1056PV Amsterdam"
49278,Shoes,F,Calf Boots,41,beige,1,149.99,30/11/2019 10:07,"Kerkstraat 5, 1011VR Den Haag"
49278,Shoes,F,Ankle Boots,41,brown,1,119.99,30/11/2019 10:07,"Kerkstraat 5, 1011VR Den Haag"
49279,Bags,F,Backpack,NA,grey,1,59.99,21/11/2019 15:33,"Middenweg 97, 1039HD Venlo"
49280,Shoes,M,Combat,39,beige,1,119.99,01/12/2019 02:42,"Sportlaan 19, 1096QI Enschede"
49281,Bags,M,Backpack,NA,black,1,59.99,28/11/2019 17:25,"Prins Hendrikstraat 7, 1031MJ Arnhem"
49282,Shoes,F,Calf Boots,36,grey,1,149.99,16/11/2019 13:42,"Frans Halsstraat 15, 1003UZ Ede"
