Order ID,Category,Gender,Product,Size,Color,Quantity Ordered,Price each,Order Date,Purchase Address
48004,Shoes,F,Flip Flops,38,brown,1,29.99,27/10/2019 19:23,"Meidoornstraat 92, 1046OY Eindhoven"
48005,Shoes,F,Sneakers,39,black,1,99.99,24/10/2019 17:29,"Margrietstraat 95, 1004OB Tilburg"
48006,Accessories,M,Wallet,NA,white,1,19.99,29/10/2019 13:28,"Emmastraat 19, 1064JW Amsterdam"
48007,Bags,F,Backpack,NA,grey,1,59.99,14/10/2019 21:22,"Raadhuisstraat 83, 1056AP Dordrecht"
48008,Shoes,M,Sneakers,40,beige,1,99.99,25/10/2019 12:51,"Nieuweweg 67, 1057ME Ede"
48009,Shoes,F,Ballerinas,40,grey,1,79.95,13/10/2019 12:26,"Middenweg 99, 1099LS Venlo"
48010,Bags,M,Backpack,NA,grey,1,59.99,18/10/2019 23:42,"Lindenlaan 20, 1031WN Arnhem"
48011,Shoes,M,Loafers,38,grey,1,69.99,16/10/2019 23:58,"Groeneweg 76, 1041SO Amsterdam"
48012,Shoes,F,Ballerinas,42,brown,1,79.95,05/10/2019 15:57,"Torenstraat 68, 1069XK Den Haag"
48013,Shoes,F,Ballerinas,40,black,1,79.95,25/10/2019 09:41,"Kastanjelaan 66, 1098RM Utrecht"
48013,Shoes,F,Ankle Boots,40,black,1,119.99,25/10/2019 09:41,"Kastanjelaan 66, 1098RM Utrecht"
48014,Shoes,M,Combat,39,beige,1,119.99,24/10/2019 21:22,"Meidoornstraat 19, 1066XL 's-Hertogenbosch"
48014,Shoes,M,Flip Flops,39,brown,1,29.99,24/10/2019 21:22,"Meidoornstraat 19, 1066XL 's-Hertogenbosch"
48015,Bags,M,Laptopbag,NA,black,1,99.99,18/10/2019 19:46,"Kloosterstraat 41, 1065WO Amersfoort"
48016,Shoes,F,Sneakers,42,grey,1,99.99,03/10/2019 19:45,"Kloosterstraat 7, 1010XI Alkmaar"
48016,Shoes,F,Sandals,42,multicolor,1,49.99,03/10/2019 19:45,"Kloosterstraat 7, 1010XI Alkmaar"
48017,Shoes,F,Sneakers,36,brown,1,99.99,03/10/2019 22:13,"Leeuwerikstraat 52, 1011NF Rotterdam"
48017,Shoes,F,Wedges,36,black,1,69.95,03/10/2019 22:13,"Leeuwerikstraat 52, 1011NF Rotterdam"
48018,Shoes,F,Ballerinas,38,silver,1,79.95,28/10/2019 10:32,"Kievitstraat 83, 1096PA Breda"
48019,Shoes,F,Sneakers,41,beige,1,99.99,16/10/2019 16:34,"Wilhelminastraat 75, 1036SF Enschede"
48020,Shoes,F,Wedges,35,red,1,69.95,14/10/2019 12:07,"Oranjestraat 77, 1001SF Zwolle"
48020,Shoes,F,Wedges,34,red,1,69.95,14/10/2019 12:07,"Oranjestraat 77, 1001SF Zwolle"
48021,Shoes,M,Boat shoes,41,brown,1,59.99,26/10/2019 12:32,"Rijksweg 73, 1084HE Almere"
48022,Bags,M,Backpack,NA,black,1,59.99,01/10/2019 23:31,"Margrietstraat 38, 1003OO Breda"
48023,Accessories,F,Socks,NA,grey,1,7.99,07/10/2019 16:23,"Leeuwerikstraat 6, 1078SC Deventer"
48024,Bags,F,Laptopbag,NA,beige,2,99.99,19/10/2019 05:59,"Julianalaan 98, 1051VF Utrecht"
48025,Shoes,M,Sneakers,37,black,1,99.99,15/10/2019 09:52,"Kerkweg 46, 1022PX Rotterdam"
48026,Shoes,F,Sneakers,40,black,1,99.99,02/10/2019 08:31,"Kastanjelaan 57, 1079IV Arnhem"
48027,Shoes,F,Ankle Boots,35,brown,1,119.99,28/10/2019 16:56,"Raadhuisstraat 35, 1007LN Rotterdam"
48027,Bags,F,Handbag,NA,brown,1,99.99,28/10/2019 16:56,"Raadhuisstraat 35, 1007LN Rotterdam"
48028,Shoes,M,Boat shoes,37,brown,1,59.99,01/10/2019 17:23,"Juliana-straat 48, 1008NS Den Haag"
48029,Shoes,F,Sneakers,39,black,1,99.99,13/10/2019 12:13,"Wilhelminastraat 90, 1021TC Rotterdam"
48030,Shoes,M,Loafers,36,white,1,69.99,10/10/2019 19:08,"Rozenstraat 44, 1041RP Arnhem"
48031,Shoes,F,Sandals,39,beige,1,49.99,18/10/2019 13:49,"Kastanjelaan 16, 1077QC Amsterdam"
48032,Shoes,F,Sneakers,40,black,1,99.99,31/10/2019 19:08,"Prins Hendrikstraat 47, 1067NK Rotterdam"
48033,Bags,M,Backpack,NA,multicolor,1,59.99,22/10/2019 14:50,"Torenstraat 59, 1020FA Eindhoven"
48034,Accessories,F,Wallet,NA,grey,1,19.99,06/10/2019 22:33,"Havenstraat 32, 1090MU Den Haag"
48035,Shoes,M,Loafers,38,beige,1,69.99,05/10/2019 11:43,"Rijksweg 67, 1030XI Rotterdam"
48035,Shoes,M,Boots,38,grey,1,119.99,05/10/2019 11:43,"Rijksweg 67, 1030XI Rotterdam"
48036,Shoes,F,Flip Flops,42,brown,1,29.99,16/10/2019 11:06,"Leliestraat 75, 1082KE 's-Hertogenbosch"
48037,Bags,F,Handbag,NA,brown,1,99.99,22/10/2019 11:06,"Raadhuisplein 1, 1074OZ Apeldoorn"
48038,Shoes,M,Loafers,35,white,1,69.99,08/10/2019 10:10,"Molenweg 46, 1059AF Groningen"
48039,Shoes,F,Ballerinas,38,multicolor,1,79.95,22/10/2019 15:21,"Markt 30, 1071OC Amsterdam"
48040,Shoes,M,Combat,41,white,1,119.99,10/10/2019 01:38,"Nijverheidsweg 53, 1072ET Nijmegen"
48040,Bags,M,Laptopbag,NA,white,1,99.99,10/10/2019 01:38,"Nijverheidsweg 53, 1072ET Nijmegen"
48041,Shoes,M,Loafers,39,black,1,69.99,14/10/2019 16:15,"Beukenlaan 79, 1014ZO Rotterdam"
48041,Accessories,M,Sunglasses,NA,black,1,39.99,14/10/2019 16:15,"Beukenlaan 79, 1014ZO Rotterdam"
48042,Shoes,F,Sneakers,37,grey,1,99.99,10/10/2019 13:31,"Stationsstraat 37, 1081DP Amsterdam"
