Order ID,Category,Gender,Product,Size,Color,Quantity Ordered,Price each,Order Date,Purchase Address
46524,Shoes,F,Sneakers,39,beige,1,99.99,29/09/2019 23:50,"Kerklaan 25, 1064PK Rotterdam"
46525,Shoes,F,Calf Boots,41,grey,1,149.99,12/09/2019 16:09,"Meidoornstraat 6, 1088AJ 's-Hertogenbosch"
46526,Shoes,F,Pumps,36,black,1,89.99,06/09/2019 13:21,"Prins Hendrikstraat 28, 1041RJ Amsterdam"
46527,Shoes,F,Sneakers,38,grey,1,99.99,16/09/2019 09:26,"Juliana-straat 72, 1086SK Tilburg"
46528,Accessories,M,Belt,NA,grey,1,29.99,23/09/2019 08:14,"Prins Hendrikstraat 10, 1009QW Delft"
46529,Bags,F,Shopper,NA,beige,1,79.99,07/09/2019 13:32,"Kerkstraat 73, 1031PI Zoetermeer"
46530,Accessories,M,Belt,NA,black,1,29.99,02/09/2019 11:31,"Hogeweg 89, 1066GR Almere"
46531,Shoes,F,Sneakers,41,grey,1,99.99,17/09/2019 18:42,"Esdoornstraat 80, 1059CK Dordrecht"
46531,Shoes,F,Ballerinas,37,brown,1,79.95,17/09/2019 18:42,"Esdoornstraat 80, 1059CK Dordrecht"
46532,Shoes,F,Sandals,38,grey,2,49.99,15/09/2019 12:25,"Dorpsstraat 84, 1005GK Haarlem"
46533,Bags,F,Backpack,NA,black,1,59.99,19/09/2019 20:31,"Meidoornstraat 55, 1058LS Venlo"
46533,Accessories,F,Scarf,NA,beige,3,24.99,19/09/2019 20:31,"Meidoornstraat 55, 1058LS Venlo"
46534,Shoes,F,Wedges,40,multicolor,1,69.95,30/09/2019 07:36,"Stationsplein 93, 1075PW Ede"
46534,Bags,F,Backpack,NA,multicolor,1,59.99,30/09/2019 07:36,"Stationsplein 93, 1075PW Ede"
46535,Bags,M,Backpack,NA,brown,1,59.99,01/10/2019 01:11,"Raadhuisplein 78, 1011GI Almere"
46536,Shoes,F,Flip Flops,42,grey,1,29.99,29/09/2019 20:31,"Prins Hendrikstraat 53, 1019RV Enschede"
46537,Accessories,F,Scarf,NA,white,1,24.99,14/09/2019 15:51,"Sportlaan 3, 1069VP Nijmegen"
46538,Accessories,M,Scarf,NA,beige,1,24.99,11/09/2019 04:25,"Sportlaan 22, 1039HF Arnhem"
46539,Bags,F,Clutch,NA,beige,1,39.99,06/09/2019 01:39,"Middenweg 44, 1085YG Rotterdam"
46540,Shoes,F,Ankle Boots,39,grey,1,119.99,21/09/2019 16:09,"Meidoornstraat 97, 1045TL Zwolle"
